feature,importance,stddev,p_value,n,p99_high,p99_low
enter_margin_ms,0.4661924042544262,0.06401015804064894,4.159848524623412e-05,5,0.5979902043745259,0.33439460413432653
t_enter_band_ms,0.4616478843803192,0.058566100126084715,3.0427099732461634e-05,5,0.5822362940094543,0.341059474751184
enter_vs_settle,0.44135656033236553,0.04372929955012239,1.141431385762492e-05,5,0.5313957925092178,0.3513173281555133
t_enter_norm,0.2812195630088204,0.042043575582130205,5.820555420884462e-05,5,0.3677878662363955,0.19465125978124534
t_est_settle_ms,0.1817541392107914,0.009990458384194309,1.091033644747453e-06,5,0.20232463110665652,0.16118364731492626
tail_p2p,0.1564851429805418,0.004188718842429551,6.15458623720421e-08,5,0.16510977297135113,0.1478605129897325
band_width,0.0923468081990879,0.006287148909806757,2.5622966341956043e-06,5,0.10529213470201264,0.07940148169616316
band_to_p2p,0.04610903589861849,0.010468210682187522,0.0002980262468043313,5,0.06766322637929015,0.024554845417946843
max_slope,0.0278153745499365,0.007774828031266243,0.0006620114394011433,5,0.0438238529258569,0.011806896174016094
std_value,0.009446840122303199,0.006783573287224602,0.017867346646864672,5,0.023414311279645328,-0.0045206310350389325
