,importance,stddev,p_value,n,p99_high,p99_low
max_rolling_std_half,0.14464318976974794,0.020713575256947878,4.911643252363342e-05,5,0.18729272751583817,0.1019936520236577
max_dev_tail_50,0.03839879698905284,0.011605337130594319,0.0008900538503960383,5,0.062294346543751836,0.014503247434353845
x_end,0.03063027704301035,0.013734819471951177,0.003780668348381878,5,0.058910460171136894,0.002350093914883805
std_tail_50,0.029373338066827997,0.007489156117549063,0.0004659765351258152,5,0.04479361402399928,0.013953062109656715
std_all,0.027265484190486782,0.007132550767565765,0.0005141443224389244,5,0.04195150480323273,0.012579463577740833
max_slope,0.024916336716281053,0.0031450226496045957,2.9824262246501178e-05,5,0.0313919818206494,0.018440691611912703
crossing_rate,0.02232461240250503,0.009865653236386199,0.0035904868463973415,5,0.042638128774042806,0.0020110960309672535
mid_to_tail_ratio,0.017359649139154044,0.002510262478390748,5.1036610112516115e-05,5,0.022528314277675168,0.01219098400063292
ringing_energy,0.01671817072502537,0.003983685993806648,0.0003592385109350356,5,0.02492063524666501,0.008515706203385731
drift_score,0.015041329056906966,0.00292514220902381,0.00016331860608634742,5,0.021064237295048825,0.009018420818765107
